stt,material,material_description,dvt,ton_dau_ky,nhap_trong_ky,xuat_tra_lai,chuyen_mdsd,xuat_sx,xuat_khac,ton_cuoi_ky,ghi_chu
1020,1000347338,傳動軸;主軸;;42CrMo;塗防鏽油;EP591;;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1021,1000347794,擺臂管;擺臂;φ60x3.0tx1335L;左;;;PL02B-KM,EA,0.0,6.0,0.0,0.0,6.0,0.0,0.0,
1022,1000347854,握把;擺臂;φ31.8X718L;;;;PL02B-KM,EA,0.0,1542.0,0.0,0.0,724.0,0.0,818.0,
1023,1000347858,擺臂管;擺臂;φ60x3.0tx1135L;右;;Q195;PL02B-KM,EA,0.0,4.0,0.0,0.0,4.0,0.0,0.0,
1024,1000348099,加強筋;;;SPHC;36.9x63.8x10t;;PL09BKM-G3;,EA,0.0,476.0,0.0,0.0,0.0,0.0,476.0,
1025,1000348228,護套;連接管;左;TPE;Q520-7-3;;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1026,1000348230,護套;連接管;左;TPE;Q520-7-3;二;EP591;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1027,1000348335,軸承;滾珠;6206LUZ(C3);Φ30XΦ62X16T;TPI;,EA,0.0,2880.0,0.0,0.0,0.0,0.0,2880.0,
1028,1000348604,軸承座;擺臂;GM44;;;,EA,0.0,364.0,0.0,0.0,299.0,0.0,65.0,chênh lệch=40.00
1029,1000348612,端蓋;;;;黑色/Black C;Φ60;PL02B;PP+TPE,EA,0.0,1424.0,0.0,0.0,524.0,0.0,900.0,
1030,1000349713,粉體塗料;紅高光(底漆);RAL3020,EA,0.0,50.0,0.0,0.0,22.966,0.0,27.034,
1031,1000349833,粉體塗料;BP-920S;;MATRIX 銀灰 底漆,EA,0.0,192.0,0.0,0.0,0.0,0.0,192.0,
1032,1000349838,SLEEVE;滑輪;;20#;鍍白鋅;ms21;Φ20x12.5L;,EA,0.0,160.0,0.0,0.0,0.0,0.0,160.0,thử khuôn/chưa nhập kho→tồn kho; tồn điều chỉnh (vật liệu thử khuôn.): delta=+160
1033,1000349839,粉體塗料;BP-920S;MATRIX 銀灰面漆,EA,0.0,1350.0,0.0,0.0,0.0,0.0,1350.0,
1034,1000350493,壓力輪組;;;一體式;EP304;,EA,0.0,720.0,0.0,0.0,0.0,0.0,720.0,
1035,1000350766,粉體塗料;EN08-8;橘黃色,EA,0.0,250.0,0.0,0.0,126.627,0.0,123.373,
1036,1000351392,背墊;;PU;黑色;南亞;PL50B,EA,0.0,95.0,0.0,0.0,95.0,0.0,0.0,
1037,1000351761,螺絲;傘頭;M8x1.25Px16L;;六角承窩;;鍍鉻;耐落;G10.9;,EA,0.0,7400.0,0.0,0.0,0.0,0.0,7400.0,
1038,1000352336,端塞;孔塞;;PE;黑色/Black C;Ø13.5;MS24B;,EA,0.0,2460.0,0.0,0.0,258.0,0.0,2202.0,
